Loading combined dataset (1.72B train tokens)...
Combined: 3,363,193 train seqs, 16,900 val seqs, vocab=32000
Resuming from weights.pkl
d=1024 h=16 kv_h=4 l=16 ctx=512 bs=16
combined_epoch2 trained_bpe vocab=32000
242,288,640 params, 210199 steps/epoch, 210199 total
/home/johann/Dropbox/ML/experiments/transformer/.venv/lib/python3.14/site-packages/jax/_src/compiler.py:834: UserWarning: Error writing persistent compilation cache entry for 'jit_train_step': FileNotFoundError: [Errno 2] No such file or directory: '/home/johann/Dropbox/ML/experiments/transformer/.jax_cache/jit_step_bf16_fwd-d220050f0a73f05857a0f29d66052c5b1bb6a6fbf370b712eb55b09b524da218-atime'
  warnings.warn(
    step 90000/210199  loss=2.7976  4.4 steps/s  eta=458min
    step 91000/210199  loss=2.7969  4.4 steps/s  eta=454min
    step 92000/210199  loss=2.7962  4.4 steps/s  eta=450min
    step 93000/210199  loss=2.7954  4.4 steps/s  eta=447min
    step 94000/210199  loss=2.7948  4.4 steps/s  eta=443min
    step 95000/210199  loss=2.7940  4.4 steps/s  eta=439min
    step 96000/210199  loss=2.7933  4.4 steps/s  eta=435min
    step 97000/210199  loss=2.7926  4.4 steps/s  eta=431min
    step 98000/210199  loss=2.7918  4.4 steps/s  eta=428min
    step 99000/210199  loss=2.7912  4.4 steps/s  eta=424min
    step 100000/210199  loss=2.7904  4.4 steps/s  eta=420min
    step 101000/210199  loss=2.7896  4.4 steps/s  eta=416min
    step 102000/210199  loss=2.7888  4.4 steps/s  eta=412min
    step 103000/210199  loss=2.7881  4.4 steps/s  eta=409min
    step 104000/210199  loss=2.7874  4.4 steps/s  eta=405min
    step 105000/210199  loss=2.7867  4.4 steps/s  eta=401min
    step 106000/210199  loss=2.7860  4.4 steps/s  eta=397min
    step 107000/210199  loss=2.7853  4.4 steps/s  eta=393min
    step 108000/210199  loss=2.7846  4.4 steps/s  eta=389min
    step 109000/210199  loss=2.7838  4.4 steps/s  eta=386min
    step 110000/210199  loss=2.7830  4.4 steps/s  eta=382min
    step 111000/210199  loss=2.7824  4.4 steps/s  eta=378min
    step 112000/210199  loss=2.7816  4.4 steps/s  eta=374min
    step 113000/210199  loss=2.7808  4.4 steps/s  eta=370min
    step 114000/210199  loss=2.7800  4.4 steps/s  eta=367min
    step 115000/210199  loss=2.7793  4.4 steps/s  eta=363min
    step 116000/210199  loss=2.7785  4.4 steps/s  eta=359min
    step 117000/210199  loss=2.7777  4.4 steps/s  eta=355min
    step 118000/210199  loss=2.7769  4.4 steps/s  eta=351min
    step 119000/210199  loss=2.7760  4.4 steps/s  eta=348min
    step 120000/210199  loss=2.7753  4.4 steps/s  eta=344min
    step 121000/210199  loss=2.7745  4.4 steps/s  eta=340min
    step 122000/210199  loss=2.7737  4.4 steps/s  eta=336min
    step 123000/210199  loss=2.7730  4.4 steps/s  eta=332min
    step 124000/210199  loss=2.7722  4.4 steps/s  eta=328min
    step 125000/210199  loss=2.7714  4.4 steps/s  eta=325min
    step 126000/210199  loss=2.7706  4.4 steps/s  eta=321min
    step 127000/210199  loss=2.7698  4.4 steps/s  eta=317min
    step 128000/210199  loss=2.7690  4.4 steps/s  eta=313min
    step 129000/210199  loss=2.7682  4.4 steps/s  eta=309min
